path,description,colorSpace,component0,component1,component2,alpha,hex,extensions
color.icon.warning.$root,Icon color for conveying caution or potential issues,{color.text.warning.$root},,,,,,
color.icon.warning.disabled,Warning icon color to use when the element is in a disabled state,{color.text.warning.disabled},,,,,,
color.icon.error.$root,Icon color for indicating errors or critical issues,{color.text.error.$root},,,,,,
color.icon.error.disabled,Error icon color to use when the element is in a disabled state,{color.text.error.disabled},,,,,,
color.icon.success.$root,Icon color for indicating successful completion or positive outcomes,{color.text.success.$root},,,,,,
color.icon.success.disabled,Success icon color to use when the element is in a disabled state,{color.text.success.disabled},,,,,,
color.icon.destructive.$root,Icon color for destructive actions such as delete or remove,{color.text.destructive.$root},,,,,,
color.icon.destructive.disabled,Destructive icon color to use when the element is in a disabled state,{color.text.destructive.disabled},,,,,,
color.icon.constructive.$root,"Icon color for constructive actions such as save, submit, or confirm",{color.text.constructive.$root},,,,,,
color.icon.constructive.disabled,Constructive icon color to use when the element is in a disabled state,{color.text.constructive.disabled},,,,,,
color.icon.muted.$root,Subtle icon color for low-emphasis or decorative icons,{color.text.muted.$root},,,,,,
color.icon.muted.disabled,Muted icon color to use when the element is in a disabled state,{color.text.muted.disabled},,,,,,
color.icon.link.$root,Icon color for icons that accompany links,{color.text.link.$root},,,,,,
color.icon.link.disabled,Link icon color to use when the element is in a disabled state,{color.text.link.disabled},,,,,,
color.icon.link.visited.$root,Icon color for icons that accompany visited links,{color.text.link.visited.$root},,,,,,
color.icon.link.visited.disabled,Visited link icon color to use when the element is in a disabled state,{color.text.link.visited.disabled},,,,,,
color.icon.logo,Icon color for logos displayed on branded backgrounds,{color.palette.white},,,,,,
color.icon.onForegroundPrimary.$root,Icon color for icons placed on primary foreground surfaces,{color.text.onForegroundPrimary.$root},,,,,,
color.icon.onForegroundPrimary.disabled,Icon color for icons on primary foreground surfaces when in a disabled state,{color.text.onForegroundPrimary.disabled},,,,,,
color.icon.onForegroundSecondary.$root,Icon color for icons placed on secondary foreground surfaces,{color.text.onForegroundSecondary.$root},,,,,,
color.icon.onForegroundSecondary.disabled,Icon color for icons on secondary foreground surfaces when in a disabled state,{color.text.onForegroundSecondary.disabled},,,,,,
color.icon.onForegroundSecondary.information.$root,Information icon color for icons placed on secondary foreground surfaces,{color.text.onForegroundSecondary.information.$root},,,,,,
color.icon.onForegroundSecondary.information.disabled,Information icon color for icons on secondary foreground surfaces when in a disabled state,{color.text.onForegroundSecondary.information.disabled},,,,,,
color.icon.onForegroundSecondary.warning.$root,Warning icon color for icons placed on secondary foreground surfaces,{color.text.onForegroundSecondary.warning.$root},,,,,,
color.icon.onForegroundSecondary.warning.disabled,Warning icon color for icons on secondary foreground surfaces when in a disabled state,{color.text.onForegroundSecondary.warning.disabled},,,,,,
color.icon.onForegroundSecondary.error.$root,Error icon color for icons placed on secondary foreground surfaces,{color.text.onForegroundSecondary.error.$root},,,,,,
color.icon.onForegroundSecondary.error.disabled,Error icon color for icons on secondary foreground surfaces when in a disabled state,{color.text.onForegroundSecondary.error.disabled},,,,,,
color.icon.onForegroundSecondary.success.$root,Success icon color for icons placed on secondary foreground surfaces,{color.text.onForegroundSecondary.success.$root},,,,,,
color.icon.onForegroundSecondary.success.disabled,Success icon color for icons on secondary foreground surfaces when in a disabled state,{color.text.onForegroundSecondary.success.disabled},,,,,,
color.text.$root,Default text color for prose and UI text,{$ref:#/color/palette/black/$value/colorSpace},{$ref:#/color/palette/black/$value/components/0},{$ref:#/color/palette/black/$value/components/1},{$ref:#/color/palette/black/$value/components/2},,,
color.text.disabled,Text color to use when the element is in a disabled state,{$ref:#/color/text/$root/$value/colorSpace},{$ref:#/number/lightness/text/disabled/onLight/$value},{$ref:#/color/text/$root/$value/components/1},{$ref:#/color/text/$root/$value/components/2},,,
color.text.information.$root,Text color for conveying informational or neutral feedback,{$ref:#/color/palette/blue/590/$value/colorSpace},{$ref:#/color/palette/blue/590/$value/components/0},{$ref:#/color/palette/blue/590/$value/components/1},{$ref:#/color/palette/blue/590/$value/components/2},,,
color.text.information.disabled,Information text color to use when the element is in a disabled state,{$ref:#/color/text/information/$root/$value/colorSpace},{$ref:#/number/lightness/text/disabled/onLight/$value},{$ref:#/color/text/information/$root/$value/components/1},{$ref:#/color/text/information/$root/$value/components/2},,,
color.text.warning.$root,Text color for conveying caution or potential issues,{$ref:#/color/palette/yellow/590/$value/colorSpace},{$ref:#/color/palette/yellow/590/$value/components/0},{$ref:#/color/palette/yellow/590/$value/components/1},{$ref:#/color/palette/yellow/590/$value/components/2},,,
color.text.warning.disabled,Warning text color to use when the element is in a disabled state,{$ref:#/color/text/warning/$root/$value/colorSpace},{$ref:#/number/lightness/text/disabled/onLight/$value},{$ref:#/color/text/warning/$root/$value/components/1},{$ref:#/color/text/warning/$root/$value/components/2},,,
color.text.error.$root,Text color for indicating errors or critical issues,{$ref:#/color/palette/red/590/$value/colorSpace},{$ref:#/color/palette/red/590/$value/components/0},{$ref:#/color/palette/red/590/$value/components/1},{$ref:#/color/palette/red/590/$value/components/2},,,
color.text.error.disabled,Error text color to use when the element is in a disabled state,{$ref:#/color/text/error/$root/$value/colorSpace},{$ref:#/number/lightness/text/disabled/onLight/$value},{$ref:#/color/text/error/$root/$value/components/1},{$ref:#/color/text/error/$root/$value/components/2},,,
color.text.success.$root,Text color for indicating successful completion or positive outcomes,{$ref:#/color/palette/green/590/$value/colorSpace},{$ref:#/color/palette/green/590/$value/components/0},{$ref:#/color/palette/green/590/$value/components/1},{$ref:#/color/palette/green/590/$value/components/2},,,
color.text.success.disabled,Success text color to use when the element is in a disabled state,{$ref:#/color/text/success/$root/$value/colorSpace},{$ref:#/number/lightness/text/disabled/onLight/$value},{$ref:#/color/text/success/$root/$value/components/1},{$ref:#/color/text/success/$root/$value/components/2},,,
color.text.destructive.$root,Text color for destructive actions such as delete or remove,{$ref:#/color/palette/red/590/$value/colorSpace},{$ref:#/color/palette/red/590/$value/components/0},{$ref:#/color/palette/red/590/$value/components/1},{$ref:#/color/palette/red/590/$value/components/2},,,
color.text.destructive.disabled,Destructive text color to use when the element is in a disabled state,{$ref:#/color/text/destructive/$root/$value/colorSpace},{$ref:#/number/lightness/text/disabled/onLight/$value},{$ref:#/color/text/destructive/$root/$value/components/1},{$ref:#/color/text/destructive/$root/$value/components/2},,,
color.text.constructive.$root,"Text color for constructive actions such as save, submit, or confirm",{$ref:#/color/palette/green/590/$value/colorSpace},{$ref:#/color/palette/green/590/$value/components/0},{$ref:#/color/palette/green/590/$value/components/1},{$ref:#/color/palette/green/590/$value/components/2},,,
color.text.constructive.disabled,Constructive text color to use when the element is in a disabled state,{$ref:#/color/text/constructive/$root/$value/colorSpace},{$ref:#/number/lightness/text/disabled/onLight/$value},{$ref:#/color/text/constructive/$root/$value/components/1},{$ref:#/color/text/constructive/$root/$value/components/2},,,
color.text.muted.$root,Subtle text color for low-emphasis or secondary information,{$ref:#/color/palette/gray/590/$value/colorSpace},{$ref:#/color/palette/gray/590/$value/components/0},{$ref:#/color/palette/gray/590/$value/components/1},{$ref:#/color/palette/gray/590/$value/components/2},,,
color.text.muted.disabled,Muted text color to use when the element is in a disabled state,{$ref:#/color/text/muted/$root/$value/colorSpace},{$ref:#/number/lightness/text/muted/disabled/onLight/$value},{$ref:#/color/text/muted/$root/$value/components/1},{$ref:#/color/text/muted/$root/$value/components/2},,,
color.text.link.$root,Text color for hyperlinks,{$ref:#/color/palette/blue/590/$value/colorSpace},{$ref:#/color/palette/blue/590/$value/components/0},{$ref:#/color/palette/blue/590/$value/components/1},{$ref:#/color/palette/blue/590/$value/components/2},,,
color.text.link.disabled,Link text color to use when the element is in a disabled state,{$ref:#/color/text/link/$root/$value/colorSpace},{$ref:#/number/lightness/text/link/disabled/onLight/$value},{$ref:#/color/text/link/$root/$value/components/1},{$ref:#/color/text/link/$root/$value/components/2},,,
color.text.link.visited.$root,Text color for hyperlinks that have been visited,{$ref:#/color/palette/purple/590/$value/colorSpace},{$ref:#/color/palette/purple/590/$value/components/0},{$ref:#/color/palette/purple/590/$value/components/1},{$ref:#/color/palette/purple/590/$value/components/2},,,
color.text.link.visited.disabled,Visited link text color to use when the element is in a disabled state,{$ref:#/color/text/link/visited/$root/$value/colorSpace},{$ref:#/number/lightness/text/link/disabled/onLight/$value},{$ref:#/color/text/link/visited/$root/$value/components/1},{$ref:#/color/text/link/visited/$root/$value/components/2},,,
color.text.onForegroundPrimary.$root,Text color for text placed on primary foreground surfaces,{$ref:#/color/palette/white/$value/colorSpace},{$ref:#/color/palette/white/$value/components/0},{$ref:#/color/palette/white/$value/components/1},{$ref:#/color/palette/white/$value/components/2},,,
color.text.onForegroundPrimary.disabled,Text color for text on primary foreground surfaces when in a disabled state,{$ref:#/color/text/onForegroundPrimary/$root/$value/colorSpace},{$ref:#/number/lightness/text/onForegroundPrimary/disabled/onLight/$value},{$ref:#/color/text/onForegroundPrimary/$root/$value/components/1},{$ref:#/color/text/onForegroundPrimary/$root/$value/components/2},,,
color.text.onForegroundSecondary.$root,Text color for text placed on secondary foreground surfaces,{$ref:#/color/palette/gray/700/$value/colorSpace},{$ref:#/color/palette/gray/700/$value/components/0},{$ref:#/color/palette/gray/700/$value/components/1},{$ref:#/color/palette/gray/700/$value/components/2},,,
color.text.onForegroundSecondary.disabled,Text color for text on secondary foreground surfaces when in a disabled state,{$ref:#/color/text/onForegroundSecondary/$root/$value/colorSpace},{$ref:#/number/lightness/text/onForegroundSecondary/disabled/onLight/$value},{$ref:#/color/text/onForegroundSecondary/$root/$value/components/1},{$ref:#/color/text/onForegroundSecondary/$root/$value/components/2},,,
color.text.onForegroundSecondary.information.$root,Information text color for text placed on secondary foreground surfaces,{$ref:#/color/palette/blue/700/$value/colorSpace},{$ref:#/color/palette/blue/700/$value/components/0},{$ref:#/color/palette/blue/700/$value/components/1},{$ref:#/color/palette/blue/700/$value/components/2},,,
color.text.onForegroundSecondary.information.disabled,Information text color for text on secondary foreground surfaces when in a disabled state,{$ref:#/color/text/onForegroundSecondary/information/$root/$value/colorSpace},{$ref:#/number/lightness/text/onForegroundSecondary/disabled/onLight/$value},{$ref:#/color/text/onForegroundSecondary/information/$root/$value/components/1},{$ref:#/color/text/onForegroundSecondary/information/$root/$value/components/2},,,
color.text.onForegroundSecondary.warning.$root,Warning text color for text placed on secondary foreground surfaces,{$ref:#/color/palette/yellow/700/$value/colorSpace},{$ref:#/color/palette/yellow/700/$value/components/0},{$ref:#/color/palette/yellow/700/$value/components/1},{$ref:#/color/palette/yellow/700/$value/components/2},,,
color.text.onForegroundSecondary.warning.disabled,Warning text color for text on secondary foreground surfaces when in a disabled state,{$ref:#/color/text/onForegroundSecondary/warning/$root/$value/colorSpace},{$ref:#/number/lightness/text/onForegroundSecondary/disabled/onLight/$value},{$ref:#/color/text/onForegroundSecondary/warning/$root/$value/components/1},{$ref:#/color/text/onForegroundSecondary/warning/$root/$value/components/2},,,
color.text.onForegroundSecondary.error.$root,Error text color for text placed on secondary foreground surfaces,{$ref:#/color/palette/red/700/$value/colorSpace},{$ref:#/color/palette/red/700/$value/components/0},{$ref:#/color/palette/red/700/$value/components/1},{$ref:#/color/palette/red/700/$value/components/2},,,
color.text.onForegroundSecondary.error.disabled,Error text color for text on secondary foreground surfaces when in a disabled state,{$ref:#/color/text/onForegroundSecondary/error/$root/$value/colorSpace},{$ref:#/number/lightness/text/onForegroundSecondary/disabled/onLight/$value},{$ref:#/color/text/onForegroundSecondary/error/$root/$value/components/1},{$ref:#/color/text/onForegroundSecondary/error/$root/$value/components/2},,,
color.text.onForegroundSecondary.success.$root,Success text color for text placed on secondary foreground surfaces,{$ref:#/color/palette/green/700/$value/colorSpace},{$ref:#/color/palette/green/700/$value/components/0},{$ref:#/color/palette/green/700/$value/components/1},{$ref:#/color/palette/green/700/$value/components/2},,,
color.text.onForegroundSecondary.success.disabled,Success text color for text on secondary foreground surfaces when in a disabled state,{$ref:#/color/text/onForegroundSecondary/success/$root/$value/colorSpace},{$ref:#/number/lightness/text/onForegroundSecondary/disabled/onLight/$value},{$ref:#/color/text/onForegroundSecondary/success/$root/$value/components/1},{$ref:#/color/text/onForegroundSecondary/success/$root/$value/components/2},,,
color.text.onForegroundSecondary.category.$root,"Text color for text placed on color.foreground.secondary.category elements. Use for user-generated categories, tags, or chips where a custom hue is needed. Override number.hue.category on the element to set the hue while maintaining accessibility through consistent lightness and saturation.",{$ref:#/color/palette/gray/700/$value/colorSpace},{$ref:#/color/palette/gray/700/$value/components/0},{$ref:#/color/palette/gray/700/$value/components/1},{$ref:#/number/hue/category/$value},,,
color.text.onForegroundSecondary.category.disabled,Text color for category elements in a disabled state,{$ref:#/color/text/onForegroundSecondary/category/$root/$value/colorSpace},{$ref:#/number/lightness/text/onForegroundSecondary/disabled/onLight/$value},{$ref:#/color/text/onForegroundSecondary/category/$root/$value/components/1},{$ref:#/color/text/onForegroundSecondary/category/$root/$value/components/2},,,
